"value","nasad_URL_clean"
"University of Central Missouri","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0411"
"University of Central Oklahoma","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0091"
"University of Cincinnati","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0072"
"University of Connecticut","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0577"
"University of Dayton","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0578"
"University of Denver","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0580"
"University of Florida","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0081"
"University of Georgia","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0008"
"University of Hartford","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0102"
"University of Idaho","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0582"
"University of Illinois Urbana-Champaign","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0051"
"University of Indianapolis","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0744"
"University of Kansas","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0010"
"University of Louisiana at Lafayette","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0617"
"University of Maine","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0093"
"University of Mary Hardin-Baylor","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0829"
"University of Massachusetts Dartmouth","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1159"
"University of Massachusetts Lowell","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0585"
"University of Memphis","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0118"
"University of Michigan","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0191"
"University of Minnesota Duluth","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0590"
"University of Mississippi","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0591"
"University of Montana","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0012"
"University of Montevallo","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0594"
"University of Nebraska – Lincoln","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0596"
"University of Nebraska Omaha","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0598"
"University of Nevada, Las Vegas","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0273"
"University of New Haven","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1373"
"University of New Orleans","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0600"
"University of North Alabama","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0602"
"University of North Carolina at Charlotte","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0039"
"University of North Carolina at Greensboro","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0035"
"University of North Carolina at Pembroke","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0492"
